Rank,Handle,Codeforces_Handle,Codeforces_Rating,GFG_Handle,GFG_Contest_Score,GFG_Practice_Score,Leetcode_Handle,Leetcode_Rating,Codechef_Handle,Codechef_Rating,HackerRank_Handle,HackerRank_Practice_Score,Percentile
166,21r01a04c7,cmrit25_21r01a04c7,899,21r01a04c7,60,0,bhavani_19,0,bhavani_92,1090,21r01a04c7,274,31.77%
167,21r01a05d8,b_sai_charan99,584,21r01a4moz,60,0,21r01a05d8,1418,sai21r01a05d8,1216,21r01a05d8cmrit1,0,31.75%
168,21r01a7317,21r01a7317,747,21r01a7317,20,0,21r01a7317,1341,sridhar7317,1019,21r01a7317,35,31.66%
169,21r01a6673,cmrit25_21r01a6673,734,srivarshini,0,0,21r01a6673,1337,varshini8,1287,srivarshini,0,31.61%
170,22r05a6614,cmrit25_22r05a6614,780,22r05a6614,9,2,22r05a6614,1415,govardhan14,967,cmr_22r05a6614,0,31.59%
171,21r01a04b1,janvipulluri_18,729,21r01ab5ys,0,0,_j21r01a04b1,1499,j21r01a04b1,981,21r01a04b1,105,31.56%
172,21r01a6615,cmrit25_21r01a6615,727,21r01a6615,25,0,21r01a6615,1322,cmr21r01a6615,992,21r01a6615,65,31.51%
173,21r01a67k4,21r01a67k4_vishnu,632,21r01a67k4,20,0,21r01a67k4,1570,vishnu_a67k4,1164,21r01a67k4,35,31.51%
174,22r05a7204,cmrit25_22r05a7204,749,22r05a7204,0,2,22r05a7204,1371,cmr22r05a7204,1103,22r05a7204,46,31.48%
175,21r01a66g1,cmrit25_21r01a66g1,702,21r01a66g1,0,33,21r01a66g1,1428,pavan138,881,21r01a66g1,162,31.39%
176,21r01a7321,cmrit25_21r01a7321,985,21r01a7321,7,2,,0,vaishnavii1312,911,21r01a7321,435,31.18%
177,21r01a6799,saikrishna_25,748,21r01a6799,0,0,21r01a6799,1429,r01a6799,1051,21r01a6799,15,31.12%
178,21r01a67c8,21r01a67c8,1065,,0,0,,0,moneycharan4,919,21r01a67c8,283,31.02%
179,21r01a05e1,charan_boga,586,21r01a05e1,40,19,21r01a05e1,1420,cmr_21r01a05e1,943,21r01a05e1,147,30.93%
180,21r01a05j4,cmrit25_21r01a05j4,894,21r01a05j4,70,0,gopikrishna,0,r01a05j4,1211,21r01a05j4,45,30.77%
181,21r01a67d6,21r01a67d6,733,,0,0,21r01a67d6,1392,meghana_85,1090,21r01a67d6,5,30.73%
182,21r01a66b6,cmrit25_21r01a66b6,729,21r01ant7h,0,0,21r01a66b6,1382,cmr_21r01a66b6,997,21r01a66b6,70,30.63%
183,21r01a7316,21r01a7316,722,21r01a7316,0,15,21r01a7316,1456,madhan45,925,21r01a7316,40,30.59%
184,21r01a6711,21r01a6711,714,21r01a6711,0,0,21r01a6711,1341,kartheekdama11,1128,21r01a6711,35,30.55%
185,21r01a0510,cmrit25_21r01a0510,718,ranjithra88zk,10,0,ranjith_890,1494,ranjith_890,922,ranjithranji2251,5,30.52%
186,21r01a66d9,cmrit_21r01a66d9,375,21r01a66d9,0,87,cmr_21r01a66d9,1411,navya_63,1105,21r01a66d9,501,30.51%
187,21r01a6682,cmrit25_21r01a6682,972,21r01asoh5,0,11,21r01a6682,0,cmr_21r01a6682,1299,21r01a6682,152,30.49%
188,22r05a6613,cmrit25_22r05a6613,919,22r05a6613,40,22,22r05a6613,0,cmr_22r05a6613,1120,22r05a6613,122,30.43%
189,21r01a04d7,cmrit25_21r01a04d7,770,21r01a04d7,0,0,swathi2k23,1446,swathi2k23,686,21r01a04d7,102,30.23%
190,21r01a67f8,cmrit_21r01a67f8,987,21r01a67f8,0,9,sathwikakoduri,0,sathwikakoduri,1203,21r01a67f8,147,30.1%
191,22r05a7301,jayanth,1418,jayanth,0,0,jayanth,0,jayanth,0,jayanth,0,30%
192,21r01a05f0,cmrit25_21r01a05f0,608,21r01a05f0,0,0,explorer245,1665,explorer245,1114,21r01a05f0,5,29.87%
193,22r05a0410,cmrit25_22r05a0410,581,22r05a0ejf,10,11,22r05a0410,1489,kannedeepthi_7,1135,22r05a0410,65,29.8%
194,21r01a05m1,cmrit25_21r01a05m1,576,21r01a05m1,0,0,21r01a05m1,1602,cmr_21r01a05m1,1272,21r01a05m1,0,29.76%
195,21r01a7251,cmrit25_21r01a7251,815,parvathamr94gs,0,13,ramcharan07,0,ramcharan01,1225,21r01a7251,455,29.66%
196,21r01a05b6,cmrit25_21r01a05b6,792,21r01a05b6,65,15,21r01a05b6,0,samrah10,1182,21r01a05b6,157,29.65%
197,21r01a0516,cmrit25_21r01a0516,359,21r01a0516,125,2,21r01a0516,1400,vinuthnagoud,1057,21r01a0516,15,29.63%
198,21r01a04p2,cmrit_25_21r01a04p2,767,m_vaishnavi06,0,0,21r01a04p2,1415,m_vaishnavi06,719,21r01a04p2,35,29.55%
199,21r01a6782,cmrit25_21r01a6782,834,manikcmrit,19,0,manikcmrit,0,r01a6782manik,1173,21r01a6782,333,29.25%
200,21r01a67e3,cmrit25_21r01a67e3,882,21r01a67e3,22,0,21r01a67e3,0,cmr_21r01a67e3,1180,21r01a67e3,203,29.22%
201,21r01a05j1,cmrit25_21r01a05j1,927,21r01a05j1,40,0,21r01a05j1,0,srikar741,1171,21r01a05j1,0,29.15%
202,21r01a6640,cmrit25_21r01a6640,789,elena_jakaes,39,8,elena_jakaes,0,suji_jakaes,1006,suji_jakaes,378,28.99%
203,22r05a0515,cmrit25_22r05a0515,878,22r05asq20,22,13,sahithilakkarasu,0,sahithi_2702,1210,22r05a0515,122,28.9%
204,21r01a67b6,cmrit25_21r01a67b6,901,21r01a67b6,0,0,21r01a67b6,0,a_21r01a67b6,1449,21r01a67b6,60,28.74%
205,21r01a04m3,cmrit-25-21r01a04m3,561,21r01a04m3,0,19,21r01a04m3,1346,swetha214m3,948,21r01a04m3,243,28.73%
206,21r01a0582,cmrit2025_21r01a0582,565,21r01a0582,0,21,21r01a0582,1458,sravya2004,1075,21r01a0582,75,28.73%
207,21r01a05e5,cmrit25_21r01a05e5,826,cmrit25_21r01a05e5,57,4,21r01a05e5,0,csashish,1210,21r01a05e5,39,28.67%
208,21r01a0485,ramarao_123,708,,0,0,21r01a0485,1420,ramarao444,805,21r01a0485,10,28.63%
209,21r01a7258,cmrit25_21r01a7258,900,somajhansi6504,10,2,somajhansi7258,0,anonymous44,1344,21r01a7258,50,28.56%
210,21r01a67f3,21r01a67f3,361,21r01a67f3,49,1,21r01a67f3,1377,rithish81,1301,21r01a67f3,187,28.55%
211,21r01a6764,cmrit25_21r01a6764,824,21r01a6764,0,17,21r01a6764,0,vyshnavi6764,1448,21r01a6764,160,28.53%
212,21r01a6650,cmrit25_21r01a6650,581,21r01a6650,0,13,21r01a6650,1302,indu_sri2209,959,21r01a6650,210,28.48%
213,21r01a67d8,21r01a67d8,361,21r01a67d8,49,5,21r01a67d8,1377,deekshitha2k4,1260,21r01a67d8,190,28.43%
214,21r01a6676,cmrit25_21r01a6676,868,21r01a0lxc,10,18,21r01a6676,0,navaketanb1910,1156,21r01a6676,180,28.39%
215,21r01a67f7,cmrit25_21r01a67f7,0,21r01a67f7,190,10,21r01a67f7,1559,s_21r01a67f7,1149,21r01a67f7,125,28.39%
216,22r05a0512,cmrit25_22r05a0512,822,22r05a0512,30,0,22r05a0512,0,kalyani2003,1336,22r05a0512,95,28.33%
217,21r01a6719,cmrit25_21r01a6719,769,21r01amvt4,0,95,21r01a6719,0,pujitha567,1207,21r01a6719,193,28.31%
218,21r01a67e7,ajit_04,357,21r01aecx4,0,11,21r01a67e7,1607,hamilpurajit,972,21r01a67e7,480,28.19%
219,21r01a04r4,21r01a04r4,571,21r01a04r4,0,0,21r01a04r4,1422,s21r01a04r4,1114,21r01a04r4,60,28.16%
220,21r01a6612,cmrit25_21r01a6612,583,21r01awdt9,0,19,21r01a6612,1408,anuragvamshi,877,21r01a6612,135,28.09%
221,21r01a0521,cmrit25_21r01a0521,591,21r01a0521,0,0,21r01a0521,1380,cmr_21r01a0521,1156,21r01a0521,0,28.02%
222,21r01a6772,cmrit25_21r01a6772,970,21r01axoew,10,0,21r01a6772,0,cmr_21r01a6772,1029,21r01a6772,40,27.92%
223,21r01a66h8,cmrit25_21r01a66h8,964,,0,0,akshayram,0,akshayram,1072,21r01a66h8,81,27.91%
224,21r01a6630,cmrit25_21r01a6630,834,adhinath,0,16,adhinath_9393,0,adhinath_9393,1166,adhinath_k,257,27.88%
225,21r01a0578,cmrit25_21r01a0578,828,21r01a0578,30,12,21r01a0578,0,navya578,1250,21r01a0578,45,27.77%
226,21r01a04a1,cmrit25_21r01a04a1,824,21r01a04a1,0,0,cmrit_21r01a04a1,0,cmr21r01a04a1,1525,21r01a04a1,77,27.75%
227,21r01a67b5,21r01a67b5,864,21r01a2k2z,29,13,21r01a67b5,0,cmr21r01a67b5,1075,21r01a67b5,80,27.74%
228,21r01a6648,cmrit25_21r01a6648,859,21r01a6648,0,31,21r01a6648,0,cmr_21r01a6648,971,21r01a6648,267,27.69%
229,21r01a0486,cmrit25_21r01a0486,581,,0,0,chennaraogurrala,1419,gchennarao,1038,21r01a0486,30,27.59%
230,22r05a6617,22r05a6617,906,22r05a6617,0,0,22r05a6617,0,s22r05a6617,1140,22r05a6617,125,27.53%
231,21r01a66b8,cmrit25_21r01a66b8,813,21r01a66b8,0,0,rajesh,1576,21r01a66b8,0,21r01a66b8,85,27.45%
232,21r01a0424,cmrit25_21r01a0424,868,,0,0,21r01a0424,0,sravani2k23,1155,21r01a0424,161,27.17%
233,21r01a6657,cmrit25_21r01a6657,876,21r01ab99c,0,22,snehal_593,0,snehal_593,994,21r01a6657,177,27.08%
234,21r01a05h8,cmrit25_21r01a05h8,818,21r01a05h8,49,8,21r01a05h8,0,cmr_21r01a05h8,1034,21r01a05h8,37,27.05%
235,21r01a6601,21r01a6601,832,21r01a6601,0,21,21r01a6601,0,s21r01a6601,1128,21r01a6601,185,27.04%
236,21r01a67a8,cmrit25_21r01a67a8,864,21r01apfut,0,15,21r01a67a8,0,s21r01a67a8,1037,21r01a67a8,180,26.93%
237,21r01a0487,cmrit25_21r01a0487,357,21r01a0487,28,0,21r01a0487,1530,koushik2004,983,21r01a0487,254,26.85%
238,21r01a6685,cmrit25_21r01a6685,857,koushik_04,0,0,koushik2003,0,saikoushik04,1325,koushik_04,0,26.45%
239,21r01a04p0,cmrit25_21r01a04p0,822,kumarram,0,0,21r01a04p0,1459,5may22,0,21r01a04p0,32,26.43%
240,21r01a6606,cmrit25_21r01a6606,841,21r01a6606,0,0,21r01a6606,0,chandravathi,1067,_21r01a6606,189,26.31%
241,21r01a05g0,rishivaran5g0,819,21r01ao3tc,30,1,rishivaran,0,rishivaran5go,1156,21r01a05g0,0,26.25%
242,21r01a05p8,cmrit25_21r01a05p8,833,rohan_adepu,0,34,21r01a05p8,0,rohan_adepu,882,21r01a05p8rohan,216,26.17%
243,21r01a6631,cmrit25_21r01a6631,808,21r01a6631,0,28,21r01a6631,0,cmr_21r01a6631,1139,21r01a6631,120,26.17%
244,21r01a6756,cmrit25_21r01a6756,780,21r01a6756,0,19,vyshnavi-04,0,r01a6756,1236,21r01a6756,142,26.15%
245,21r01a05g5,cmrit25_21r01a05g5,370,ruthikc11kv,40,2,ruthikchary,1450,ruthik25,1167,21r01a05g5,0,26.07%
246,21r01a0527,srilekha_527,578,,0,0,srilekha_3,1371,tinnu_3_3,857,21r01a0527,20,26.01%
247,21r01a04q7,21r01a04q7,348,21r01ae2ne,40,0,jahnavi_q7,1491,jahnavi_q7,1100,21r01a04q7,65,26%
248,21r01a05a4,cmrit25_21r01a05a4,905,21r01a05a4,0,4,vishnu_morapally,0,vishnu_a4,1013,21r01a05a4,35,25.96%
249,22r05a0401,cmrit25_22r05a0401,701,22r05a0401,10,52,22r05a0401,0,cmr_22r05a0401,1144,22r05a0401,195,25.86%
250,21r01a05a1,cmrit25_21r01a05a1,767,21r01a05a1,0,0,21r01a05a1,0,mehrajfatima,1155,21r01a05a1,247,25.85%
251,21r01a6738,cmrit25_21r01a6738,789,m_keerthi15,0,0,m_keerthi15,0,m_keerthi15,1348,21r01a6738,69,25.82%
252,21r01a7334,21r01a7334,358,,0,0,21r01a7334,1615,madhangoud34,1347,21r01a7334,5,25.75%
253,21r01a67e1,mounika_goda,819,21r01aswcv,0,0,21r01a67e1,0,mounika_goda,1240,21r01a67e1,62,25.71%
254,21r01a6605,cmrit25_21r01a6605,843,21r01a6605,0,9,21r01a6605,0,cmr_21r01a6605,1170,21r01a6605,29,25.71%
255,21r01a6649,cmrit25_21r01a6649,804,vinay2605,0,10,vinay2605,0,vinay2605,1155,21r01a6649,110,25.6%
256,21r01a0595,cmrit25_21r01a0595,726,21r01aem5o,26,37,21r01a0595,0,sadhvika12,1015,21r01a0595,145,25.56%
257,21r01a6798,21r01a6798,889,,0,0,,0,vandana2702,1069,21r01a67981,0,25.52%
258,21r01a66a3,21r01a66a3,762,21r01aup3f,10,30,21r01a66a3,0,manisha_75,1053,21r01a66a3,145,25.5%
259,21r01a67a3,cmrit25_21r01a67a3,826,21r01aebz4,0,0,21r01a67a3,0,v21r01a67a3,1216,21r01a67a3,25,25.35%
260,21r01a6701,21r01a6701,809,21r01a6701,0,9,sanjay6701,0,sanjay6701,1085,21r01a6701,109,25.22%
261,21r01a66a0,,0,srilekha_152,125,2,66a0,1406,srilekha_152,1316,21r01a66a0,169,25.18%
262,21r01a6731,cmrit25_21r01a6731,776,21r01a6731,0,5,prathyusha79,0,prathyusha79,1188,21r01a6731,110,25.07%
263,21r01a67a7,cmrit25_21r01a67a7,784,21r01a59yv,0,0,21r01a67a7,0,s_21r01a67a7,1271,21r01a67a7,40,24.95%
264,21r01a66c3,cmrit25_21r01a66c3,761,21r01a66c3,0,31,sunitha_12,0,sunitha_12,862,21r01a66c3,263,24.89%
265,21r01a0577,cmrit25_21r01a0577,349,21r01avor9,0,0,adithya0509,1385,adithya0509,1414,21r01a0577,35,24.89%
266,22r05a0425,cmrit25_22r05a0425,741,22r05azmzz,0,4,22r05a0425,1413,22r05a0425,0,22r05a0425,65,24.87%
267,21r01a66e4,21r01a66e4,377,21r01a6jdu,0,0,21r01a66e4,1412,r01a66e4,1248,21r01a66e4,60,24.84%
268,21r01a0425,cmrit25_21r01a0425,376,21r01a0425,0,0,21r01a0425,1435,cmr_21r01a0425,1222,21r01a0425,60,24.79%
269,21r01a7240,cmrit_21r01a7240,355,21r01aox04,9,15,21r01a7240,1447,saikiran_95,1106,21r01a7240,80,24.79%
270,21r01a05j2,21r01a05j2,782,21r01a05j2,0,0,21r01a05j2,0,ahmed4849,1303,21r01a05j2,5,24.78%
271,22r05a0421,22r05a0421,370,22r05ai9oy,30,5,22r05a0421,1436,nissar21,1036,22r05a0421,3,24.73%
272,21r01a05p0,21r01a05p0,820,21r01az74y,0,16,shva7,0,cmr_21r01a05p0,1030,21r01a05p0,49,24.73%
273,21r01a6680,cmrit25_21r01a6680,788,chabhi0z1r,0,6,chabhilash,0,chabhilash,1116,21r01a6680,89,24.7%
274,21r01a05r6,cmrit25_21r01a05r6,785,21r01a05r6,0,14,21r01a05r6,0,cmr_21r01a05r6,1045,21r01a05r6,119,24.7%
275,21r01a6724,cmrit25_21r01a6724,774,21r01a6724,0,0,vyshnavi_08,0,vyshnavi08,1200,21r01a6724,80,24.68%
276,21r01a6734,cmrit25_21r01a6734,784,21r01a6734,0,0,21r01a6734,0,r01a6734,1185,21r01a6734,67,24.67%
277,22r05a0507,cmrit25_22r05a0507,791,22r05a0507,0,20,n22r05a0507,0,n22r05a0507,1108,22r05a0507,35,24.58%
278,21r01a67f4,cmrit25_21r01a67f4,745,21r01a67f4,0,0,21r01a67f4,0,d21r01a67f4,1067,21r01a67f4,220,24.58%
279,22r05a0508,22r05a0508,817,22r05a57wl,0,25,22r05a0508,0,mahendar_mahi,980,22r05a0508,40,24.51%
280,21r01a6619,cmrit__2521r01a6619,820,sricharanteja,0,4,21r01a6619,0,sricharanteja9,1066,21r01a6619,25,24.39%
281,21r01a05g9,cmrit25_21r01a05g9,414,21r01a05g9,0,0,21r01a05g9,1452,srivarsha_31,1083,21r01a05g9,14,24.39%
282,21r01a7319,21r01a7319,1085,ganesh,0,33,ganeshjadav,0,g21r01a7319,0,21r01a7319,50,24.34%
283,21r01a6641,21r01a6641,739,21r01a6641,0,22,21r01a6641,0,ashritha92,985,21r01a6641,197,24.32%
284,21r01a0547,cmrit25_21r01a0547,799,21r01a0547_navadeep,0,0,21r01a0547,0,navadeep_1511,1115,21r01a0547,35,24.24%
285,21r01a6636,21r01a6636,783,,0,0,21r01a6636,0,h21r01a6636,1024,21r01a6636,119,24.14%
286,21r01a6652,cmrit25_21r01a6652,359,priyansigupta,30,0,priyansigupta,1267,priyansi_29,1046,21r01a6652,75,24.1%
287,21r01a6787,21r01a6787,783,,0,0,21r01a6787,0,cmr_21r01a6787,1192,21r01a6787,5,24.1%
288,22r05a0402,cmrit25_22r05a0402,364,22r05a0402,10,8,22r05a0402,1413,nikhil402,1104,22r05a0402,25,24.1%
289,21r01a0556,cmrit25_21r01a0556,783,cmr_21r01a0556,0,3,21r01a0556,0,cmr_21r01a0556,1157,21r01a0556,2,23.93%
290,21r01a66c5,cmrit25_21r01a66c5,609,21r01a66c5,10,88,t_devendar,0,devendar7987,1117,21r01a66c5,112,23.93%
291,21r01a67g0,cmrit25_21r01a67g0,365,21r01a67g0,0,0,21r01a67g0,1568,cmr_21r01a67g0,1084,21r01a67g0,0,23.91%
292,21r01a7363,cmrit25_21r01a7363,766,21r01akthx,0,17,21r01a7363,0,vinayreddy3,1045,21r01a7363,70,23.91%
293,21r01a0421,cmrit25_21r01a0421,365,21r01a0421,9,9,vijay_kumar946,1408,vijay421,1049,21r01a0421,45,23.91%
294,21r01a6760,cmrit25_21r01a6760,592,abhii_05,35,12,abhii_05,0,abhii_05,1256,21r01a6760,119,23.8%
295,21r01a0502,cmrit25_21r01a0502,752,21r01ak9vh,0,0,nithish_123,0,aletinithish,1249,21r01a0502,0,23.76%
296,21r01a0554,cmrit25_21r01a0554,807,r01a0554cmr,0,0,r01a0554cmr,0,r01a0554cmr,1055,cmr_21r01a0554,0,23.7%
297,21r01a7207,cmrit25_21r01a7207,736,21r01a7207,0,1,21r01a7207,0,a2101a7207,1085,21r01a7207,127,23.63%
298,21r01a6755,21r01a6755,350,,0,0,21r01a6755,1372,lalithya23,1274,lalithya_t,0,23.62%
299,21r01a66k1,sneha2884,789,21r01a66k1sneha,30,0,21r01a66k1,0,r01a66k1,826,21r01a66k1,0,23.52%
300,21r01a6664,cmrit25_21r01a6664,758,21r01a6664,0,8,21r01a6664,0,vignesh_2763,1026,21r01a6664,85,23.52%
301,21r01a66b3,21r01a66b3,802,21r01alkr4,0,23,21r01a66b3,0,saiteja73,856,21r01a66b3,52,23.47%
302,21r01a05e0,tejabathini70,371,tejabat54e6,0,0,naveenbathini,1408,naveenbathini3,1128,tejabathini70,5,23.41%
303,21r01a6722,shivaraj22,829,shivaraj,0,0,shivaraj,0,shivaraj15,934,gandhamshivaraj,0,23.41%
304,21r01a7219,cmrit25_21r01a7219,723,21r01a7219,0,0,cmr_21r017219,0,cmr_21r01a7219,1222,21r01a7219,36,23.32%
305,21r01a0514,,0,21r01a0514,120,67,21r01a0514,1244,cmr_21r01a0514,1123,21r01a0514,45,23.31%
306,21r01a0518,21r01a0518,760,21r01a0518,10,0,21r01a0518,0,cmr_21r01a0518,1059,21r01a0518,0,23.28%
307,21r01a6611,cmrit25_21r01a6611,696,21r01ax1n6,0,2,21r01a6611,0,b21r01a6611,884,21r01a6611,306,23.27%
308,21r01a04g4,cmrit25_21r01a04g4,359,21r01a04g4,0,0,21r01a04g4,1425,dhathrija_28,951,21r01a04g4,115,23.2%
309,21r01a7252,21r01a7252_divija,356,21r01a7252,0,0,21r01a7252,1409,divijapittala,1058,21r01a7252,57,23.16%
310,21r01a05f2,21r01a05f2,768,21r01a05f2,0,25,21r01a05f2,0,sketch5f2,900,21r01a05f2,59,23.15%
311,21r01a05m9,21r01a05m9,758,21r01a05m9,0,6,21r01a05m9,0,vishnu93,1036,21r01a05m9,45,23.14%
312,21r01a7214,cmrit25_21r01a7214,749,harshinibachu,0,0,harshinibachu,0,bachuharshini,1082,21r01a7214,35,22.98%
313,21r01a6703,cmrit25_21r01a6703,695,21r01a6703,0,7,21r01a6703,0,a21r01a6703,1209,21r01a6703,50,22.97%
314,21r01a6788,21r01a6788,724,6788_cmrit25,0,6,21r01a6788,0,r01a6788,908,21r01a6788,179,22.9%
315,21r01a0583,cmrit25_21r01a0583,709,21r01a0583,0,22,21r01a0583,0,sreeja_r21,1023,21r01a0583,86,22.85%
316,21r01a7205,21r01a7205,359,21r01a7205,0,0,21r01a7205,1372,akshita_911,1111,,0,22.78%
317,21r01a04k4,cmrit25_21r01a04k4,700,21r01a04k4,0,9,21r01a04k4,0,r01a04k4,963,21r01a04k4,172,22.76%
318,21r01a6732,cmrit25_21r01a6732,711,21r01a6732,0,0,21r01a6732,0,r01a6732,1147,21r01a6732,52,22.75%
319,21r01a67c2,cmrit25_21r01a67c2,768,21r01a67c2,0,0,21r01a67c2,0,shreeya72,1025,21r01a67c2,5,22.73%
320,21r01a6638,cmrit25_21r01a6638,765,21r01a6638,0,2,menganisaikiran,0,cmr_21r01a6638,947,21r01a6638,50,22.67%
321,21r01a05c3,cmrit25_21r01a05c3,763,sripadhasubest,0,0,sripadhasudharshan1,0,sripadha03,1017,sripadha03,0,22.53%
322,21r01a6614,cmrit25_21r01a6614,691,21r01a6614,0,13,,0,dsaibhavani,1037,21r01a6614,107,22.52%
323,21r01a0525,21r01a0525_harshini123,742,21r01au525,0,0,g.harshini,0,gharshini123,993,21r01a0525,50,22.42%
324,21r01a7313,21r01a7313,1024,21r01a7313,0,11,,0,,0,21r01a7313,45,22.4%
325,22r05a0420,cmirt25_22r05a0420,716,2r05azcln,0,0,bhavana420,0,bhavanareddy20,938,22r05a0420,124,22.23%
326,21r01a6692,cmrit25_21r01a6692,342,21r01a6692,0,0,21r01a6692,1415,cmr_21r01a6692,957,21r01a6692,50,22.2%
327,22r05a6713,22r05a6713,658,22r05a6713,10,8,22r05a6713,0,b22r05a6713,1193,22r05a6713,0,22.18%
328,21r01a7328,21r01a7328,1031,,0,0,,0,,0,21r01a7328,35,22.15%
329,21r01a7228,21r01a7228,706,21r01anlru,0,0,user0895hf,0,yashaswini84,1148,21r01a7228,0,22.15%
330,21r01a6642,21r01a6642,710,21r01a6642,0,2,21r01a6642,0,mani_6642,1035,21r01a6642,30,21.87%
331,21r01a67d5,cmrit25_21r01a67d5,773,cmr_21r01a67d5,0,0,cmr_21r01a67d5,0,cmr_21r01a67d5,875,cmr_21r01a67d5,0,21.85%
332,21r01a67a6,cmrit25_21r01a67a6,740,21r01a67a6,0,0,21r01a67a6,0,r01a67a6,886,21r01a67a6,64,21.84%
333,21r01a67d1,21r01a67d1,620,21r01alsjb,0,0,neha_ankush26,0,neha_ankush,1313,21r01a67d1,42,21.77%
334,21r01a67b7,cmrit25_21r01a67b7,717,21r01a67b7,0,0,21r01a67b7,0,harshith1753,1014,21r01a67b7,18,21.71%
335,21r01a7225,21r01a7225,785,anonymou99wv,0,0,anilgoud,0,anil66,625,21r01a7225,111,21.6%
336,21r01a6769,cmrit25_21r01a6769,746,21r01a6769gfg,0,0,21r01a6769lt,0,bandarimahesh,908,21r01a67691,10,21.58%
337,21r01a67g3,,0,mayaanambiar,70,0,maya_g3,1341,maya_g3,948,21r01a67g3,392,21.56%
338,21r01a6727,cmrit25_21r01a6727,580,guru_5,10,9,guru_5,0,guru_5,1202,21r01a6727,97,21.54%
339,21r01a6752,cmrit25_21r01a6752,578,21r01a6752,10,0,snehitha_siddi,0,snehitha_siddi,1185,21r01a6752,129,21.46%
340,21r01a6610,cmrit25_21r01a6610,600,21r01an34e,0,0,subodh994,1456,subodd994,0,subodh,0,21.41%
341,22r05a0510,22r05a0510,635,22r05a0510,0,0,,0,vaishu10,1231,22r05a0510,20,21.36%
342,21r01a67g8,21r01a67g8,601,21r01a67g8,0,0,21r01a67g8,0,noor_g8,898,21r01a67g8,310,21.33%
